modemId,Phone Number,port,tags
0b83ab,8627663287,5.04,
0b83ab,8623479766,5.05,
0b83ab,8627662812,5.03,
0b83ab,8627045739,5.06,
0b83ab,8624383091,5.07,
0b83ab,9142900989,6.04,
0b83ab,9142901694,6.02,
0b83ab,9142901538,6.05,
0b83ab,9142907904,6.06,
0b83ab,9142908827,6.03,
0b83a8,9145089587,14.01,
0b83a8,9144268991,14.02,
0b83a8,9145100503,14.04,
0b83a8,9145105206,14.05,
0b83a8,9145088002,14.06,
0b83a8,6097217935,15.04,
0b83a8,6097217266,15.05,
0b83a8,6097217815,15.06,
0b83a8,6097211750,15.07,
0b83a8,6097217796,15.08,
0b83a8,7863035276,16.01,
0b83a8,7863028812,16.03,
0b83a8,7863071730,16.05,
0b83a8,7863255294,16.06,
0b83a8,7863258405,16.08,
0b83a8,2244156789,17.02,
0b83a8,2245651545,17.03,
0b83a8,2245039176,17.04,
0b83a8,2243051392,17.06,
0b83a8,2246361168,17.07,
0b83a8,9252059246,18.01,
0b83a8,9252059238,18.02,
0b83a8,9252059250,18.03,
0b83a8,9252059232,18.04,
0b83a8,9252059247,18.06,
0b83a8,5308049238,19.01,
0b83a8,5308049228,19.02,
0b83a8,5303301617,19.05,
0b83a8,5308049247,19.06,
0b83a8,5308049239,19.08,
0b83a8,9084483549,20.01,
0b83a8,9084483481,20.02,
0b83a8,9084938831,20.03,
0b83a8,9084483432,20.04,
0b83a8,9084483428,20.08,
0b83a8,7815716925,21.02,
0b83a8,7815716008,21.05,
0b83a8,7815716206,21.06,
0b83a8,7815716924,21.07,
0b83a8,7813636550,21.08,
0b83a8,8582038534,22.01,
0b83a8,8582203417,22.02,
0b83a8,8582149378,22.06,
0b83a8,8582140599,22.07,
0b83a8,8582147525,22.08,
0b83a8,2035443854,23.01,
0b83a8,4755016387,23.02,
0b83a8,4755016467,23.03,
0b83a8,4755016480,23.04,
0b83a8,4755016472,23.05,
0b83a8,9732960132,24.01,
0b83a8,9732960127,24.02,
0b83a8,8628810987,24.03,
0b83a8,9732960114,24.05,
0b83a8,9732960135,24.08,
0b83a8,8625796363,25.02,
0b83a8,9734491360,25.03,
0b83a8,8622420546,25.04,
0b83a8,9732237177,25.05,
0b83a8,9734491896,25.06,
0b83a8,6674477119,26.02,
0b83a8,6674477124,26.03,
0b83a8,6674477110,26.04,
0b83a8,6674477115,26.06,
0b83a8,6674477116,26.07,
0b83a8,2038298105,27.01,
0b83a8,2038298090,27.02,
0b83a8,2038298115,27.03,
0b83a8,2038298082,27.06,
0b83a8,2038298117,27.07,
0b83a8,6105291623,28.02,
0b83a8,6105291619,28.04,
0b83a8,6105291601,28.05,
0b83a8,6105291586,28.07,
0b83a8,6105291596,28.08,
0b83a8,6093333542,29.02,
0b83a8,6093333563,29.04,
0b83a8,6093333577,29.05,
0b83a8,6093333541,29.07,
0b83a8,6093333546,29.08,
